"Trial" "syllable" "Onset" "block_num" "Place" "voice" "filename" "bin" "place" "voicing" "manner" "rplace" "rvoicing" "rmanner" "rLab" "rAlv" "rDent" "rPal" "rVel" "rFric" "rStop" "rNasal" "rVcd" "rVls" "rvoice" "sylltrans" "voicetrans" "MillSim"
1 "fa" 10435 8 "labio-dental" "1" "fa.3.1.mp3" "fa_v1_b3" "Lab" "Vls" "Fric" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" 0.0246326507930114
2 "fa" 11695 8 "labio-dental" "4" "fa.2.4.mp3" "fa_v4_b3" "Lab" "Vls" "Fric" "repsyll" "repsyll" "repsyll" "repLab" "null" "null" "null" "null" "repFric" "null" "null" "null" "repVls" "diffVoice" "fa-fa" "1-4" NA
3 "null" 13204 8 "null" "null" "null" "None" "none" "none" "none" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null" "null" NA
4 "ma" 17199 8 "labial" "4" "ma.2.4.mp3" "ma_v4_b3" "Lab" "Vcd" "Nas" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null-ma" "null-4" NA
5 "va" 18708 8 "labio-dental" "1" "va.1.1.mp3" "va_v1_b4" "Lab" "Vcd" "Fric" "repcat" "repcat" "diffcat" "repLab" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "va-ma" "1-4" 0.0319429196022726
6 "da" 20200 8 "alveolar" "1" "da.2.1.mp3" "da_v1_b3" "Alv" "Vcd" "Stop" "repvoice" "repcatvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "repVoice" "va-da" "1-1" 0.0576268048212968
7 "null" 21709 8 "null" "null" "null" "None" "none" "none" "none" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null" "null" NA
8 "da" 25704 8 "alveolar" "4" "da.1.4.mp3" "da_v4_b3" "Alv" "Vcd" "Stop" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null-da" "null-4" NA
9 "ka" 27196 8 "velar" "3" "ka.2.3.mp3" "ka_v3_b3" "Vel" "Vls" "Stop" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "null" "repStop" "null" "null" "null" "diffVoice" "ka-da" "4-3" 0.0188136951680179
10 "sha" 28705 8 "palato-alveolar" "4" "sha.3.4.mp3" "sha_v4_b3" "Pal" "Vls" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "diffVoice" "sha-ka" "4-3" 0.0431383354927817
11 "TH_a" 30197 8 "dental" "2" "TH_a.1.2.mp3" "TH_a_v2_b3" "Dent" "Vcd" "Fric" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "diffVoice" "sha-TH_a" "4-2" 0.0181476535647975
12 "ba" 31706 8 "labial" "3" "ba.3.3.mp3" "ba_v3_b3" "Lab" "Vcd" "Stop" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "ba-TH_a" "3-2" 0.14699289863621
13 "TH_a" 33198 8 "dental" "3" "TH_a.2.3.mp3" "TH_a_v3_b3" "Dent" "Vcd" "Fric" "repvoice" "repcatvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "repVoice" "ba-TH_a" "3-3" 0.14699289863621
14 "SH_a" 34706 8 "palato-alveolar" "1" "SH_a.2.1.mp3" "SH_a_v1_b3" "Pal" "Vcd" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "repVcd" "null" "diffVoice" "TH_a-SH_a" "1-3" 0.0354052643338604
15 "ba" 36199 8 "labial" "1" "ba.2.1.mp3" "ba_v1_b3" "Lab" "Vcd" "Stop" "repvoice" "repcatvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "repVoice" "ba-SH_a" "1-1" 0.0284752464955132
16 "ta" 37707 8 "alveolar" "3" "ta.3.3.mp3" "ta_v3_b3" "Alv" "Vls" "Stop" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "null" "repStop" "null" "null" "null" "diffVoice" "ba-ta" "1-3" 0.0137873747502122
17 "ga" 39199 8 "velar" "4" "ga.1.4.mp3" "ga_v4_b3" "Vel" "Vcd" "Stop" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "null" "repStop" "null" "null" "null" "diffVoice" "ga-ta" "4-3" 0.0177160218315514
18 "va" 40708 8 "labio-dental" "2" "va.2.2.mp3" "va_v2_b3" "Lab" "Vcd" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "va-ga" "4-2" 0.0563801508019679
19 "ga" 42200 8 "velar" "2" "ga.2.2.mp3" "ga_v2_b3" "Vel" "Vcd" "Stop" "repvoice" "repcatvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "repVoice" "va-ga" "2-2" 0.0563801508019679
20 "ma" 43709 8 "labial" "3" "ma.1.3.mp3" "ma_v3_b3" "Lab" "Vcd" "Nas" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "ga-ma" "3-2" 0.0288986920135984
21 "TH_a" 45201 8 "dental" "4" "TH_a.3.4.mp3" "TH_a_v4_b3" "Dent" "Vcd" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "TH_a-ma" "4-3" 0.0369138726513164
22 "ma" 46709 8 "labial" "2" "ma.3.2.mp3" "ma_v2_b3" "Lab" "Vcd" "Nas" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "TH_a-ma" "4-2" 0.0369138726513164
23 "pa" 48202 8 "labial" "3" "pa.6.3.mp3" "pa_v3_b3" "Lab" "Vls" "Stop" "repcat" "diffcat" "diffcat" "repLab" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "pa-ma" "3-2" 0.0264609848441258
24 "SH_a" 49710 8 "palato-alveolar" "2" "SH_a.3.2.mp3" "SH_a_v2_b3" "Pal" "Vcd" "Fric" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "pa-SH_a" "3-2" 0.0171270060098082
25 "pa" 51202 8 "labial" "1" "pa.1.1.mp3" "pa_v1_b3" "Lab" "Vls" "Stop" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "pa-SH_a" "1-2" 0.0171270060098082
26 "TH_a" 52695 8 "dental" "1" "TH_a.2.1.mp3" "TH_a_v1_b3" "Dent" "Vcd" "Fric" "repvoice" "repvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "TH_a-pa" "1-1" 0.0267101935592846
27 "ta" 54203 8 "alveolar" "4" "ta.1.4.mp3" "ta_v4_b3" "Alv" "Vls" "Stop" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "TH_a-ta" "1-4" 0.018398855471175
28 "na" 55695 8 "alveolar" "2" "na.1.2.mp3" "na_v2_b4" "Alv" "Vcd" "Nas" "repcat" "diffcat" "diffcat" "null" "repAlv" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "na-ta" "4-2" 0.0196978714889416
29 "va" 57204 8 "labio-dental" "4" "va.3.4.mp3" "va_v4_b3" "Lab" "Vcd" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "na-va" "4-2" 0.0241080367661359
30 "ka" 58696 8 "velar" "2" "ka.3.2.mp3" "ka_v2_b3" "Vel" "Vls" "Stop" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "ka-va" "4-2" 0.0224300675837212
31 "SH_a" 60205 8 "palato-alveolar" "3" "SH_a.1.3.mp3" "SH_a_v3_b3" "Pal" "Vcd" "Fric" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "ka-SH_a" "3-2" 0.0194871835121784
32 "na" 61697 8 "alveolar" "3" "na.3.3.mp3" "na_v3_b3" "Alv" "Vcd" "Nas" "repvoice" "repcatvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "repVoice" "na-SH_a" "3-3" 0.0303880622037938
33 "ga" 63205 8 "velar" "1" "ga.3.1.mp3" "ga_v1_b3" "Vel" "Vcd" "Stop" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "na-ga" "1-3" 0.0301743677158778
34 "na" 64697 8 "alveolar" "1" "na.2.1.mp3" "na_v1_b3" "Alv" "Vcd" "Nas" "repvoice" "repcatvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "repVoice" "na-ga" "1-1" 0.0301743677158778
35 "null" 66206 8 "null" "null" "null" "None" "none" "none" "none" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null" "null" NA
36 "ba" 70202 8 "labial" "4" "ba.1.4.mp3" "ba_v4_b3" "Lab" "Vcd" "Stop" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null-ba" "null-4" NA
37 "za" 71710 8 "alveolar" "3" "za.3.3.mp3" "za_v3_b3" "Alv" "Vcd" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "ba-za" "4-3" 0.0565234331615674
38 "da" 73202 8 "alveolar" "2" "da.3.2.mp3" "da_v2_b3" "Alv" "Vcd" "Stop" "repcat" "repcat" "diffcat" "null" "repAlv" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "za-da" "3-2" 0.107120141382959
39 "za" 74695 8 "alveolar" "1" "za.1.1.mp3" "za_v1_b3" "Alv" "Vcd" "Fric" "repcat" "repcat" "diffcat" "null" "repAlv" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "za-da" "1-2" 0.107120141382959
40 "sa" 76203 8 "alveolar" "2" "sa.1.2.mp3" "sa_v2_b3" "Alv" "Vls" "Fric" "repcat" "diffcat" "repcat" "null" "repAlv" "null" "null" "null" "repFric" "null" "null" "null" "null" "diffVoice" "za-sa" "1-2" 0.0344734172749872
41 "sha" 77695 8 "palato-alveolar" "1" "sha.2.1.mp3" "sha_v1_b3" "Pal" "Vls" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "repVls" "diffVoice" "sha-sa" "1-2" 0.113246765824953
42 "sha" 79204 8 "palato-alveolar" "2" "sha.1.2.mp3" "sha_v2_b3" "Pal" "Vls" "Fric" "repsyll" "repsyll" "repsyll" "null" "null" "null" "repPal" "null" "repFric" "null" "null" "null" "repVls" "diffVoice" "sha-sha" "1-2" NA
43 "null" 80696 8 "null" "null" "null" "None" "none" "none" "none" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null" "null" NA
44 "ka" 84708 8 "velar" "1" "ka.1.1.mp3" "ka_v1_b3" "Vel" "Vls" "Stop" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null-ka" "null-1" NA
45 "ka" 86200 8 "velar" "4" "ka.1.4.mp3" "ka_v4_b3" "Vel" "Vls" "Stop" "repsyll" "repsyll" "repsyll" "null" "null" "null" "null" "repVel" "null" "repStop" "null" "null" "repVls" "diffVoice" "ka-ka" "1-4" NA
46 "pa" 87709 8 "labial" "2" "pa.4.2.mp3" "pa_v2_b3" "Lab" "Vls" "Stop" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "null" "repStop" "null" "null" "repVls" "diffVoice" "ka-pa" "4-2" 0.426229651083637
47 "pa" 89201 8 "labial" "4" "pa.3.4.mp3" "pa_v4_b3" "Lab" "Vls" "Stop" "repsyll" "repsyll" "repsyll" "repLab" "null" "null" "null" "null" "null" "repStop" "null" "null" "repVls" "diffVoice" "pa-pa" "4-2" NA
48 "ba" 90709 8 "labial" "2" "ba.3.2.mp3" "ba_v2_b3" "Lab" "Vcd" "Stop" "repcat" "diffcat" "repcat" "repLab" "null" "null" "null" "null" "null" "repStop" "null" "null" "null" "diffVoice" "ba-pa" "4-2" 0.0224225492966449
49 "va" 92202 8 "labio-dental" "3" "va.3.3.mp3" "va_v3_b3" "Lab" "Vcd" "Fric" "repcat" "repcat" "diffcat" "repLab" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "ba-va" "3-2" 0.20948219453299
50 "ba" 93710 8 "labial" "3" "ba.1.3.mp3" "ba_v3_b3" "Lab" "Vcd" "Stop" "repcatvoice" "repcatvoice" "repvoice" "repLab" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "repVoice" "ba-va" "3-3" 0.20948219453299
51 "ka" 95202 8 "velar" "1" "ka.3.1.mp3" "ka_v1_b3" "Vel" "Vls" "Stop" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "null" "repStop" "null" "null" "null" "diffVoice" "ba-ka" "1-3" 0.0209350458377875
52 "sa" 96695 8 "alveolar" "3" "sa.2.3.mp3" "sa_v3_b3" "Alv" "Vls" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "diffVoice" "ka-sa" "1-3" 0.0628311471416047
53 "TH_a" 98203 8 "dental" "2" "TH_a.3.2.mp3" "TH_a_v2_b3" "Dent" "Vcd" "Fric" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "diffVoice" "TH_a-sa" "3-2" 0.0250740393246598
54 "da" 99695 8 "alveolar" "3" "da.3.3.mp3" "da_v3_b3" "Alv" "Vcd" "Stop" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "TH_a-da" "3-2" 0.0935151222471963
55 "sha" 101204 8 "palato-alveolar" "3" "sha.2.3.mp3" "sha_v3_b3" "Pal" "Vls" "Fric" "repvoice" "repvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "sha-da" "3-3" 0.0319921225828632
56 "ba" 102696 8 "labial" "4" "ba.2.4.mp3" "ba_v4_b3" "Lab" "Vcd" "Stop" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "ba-sha" "4-3" 0.0119045348638785
57 "null" 104205 8 "null" "null" "null" "None" "none" "none" "none" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null" "null" NA
58 "sha" 108200 8 "palato-alveolar" "3" "sha.3.3.mp3" "sha_v3_b3" "Pal" "Vls" "Fric" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null-sha" "null-3" NA
59 "ma" 109709 8 "labial" "1" "ma.2.1.mp3" "ma_v1_b3" "Lab" "Vcd" "Nas" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "sha-ma" "1-3" 0.0125720064420188
60 "sha" 111201 8 "palato-alveolar" "4" "sha.1.4.mp3" "sha_v4_b3" "Pal" "Vls" "Fric" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "sha-ma" "1-4" 0.0125720064420188
61 "na" 112709 8 "alveolar" "4" "na.2.4.mp3" "na_v4_b3" "Alv" "Vcd" "Nas" "repvoice" "repvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "na-sha" "4-4" 0.0123102996706557
62 "fa" 114202 8 "labio-dental" "3" "fa.1.3.mp3" "fa_v3_b3" "Lab" "Vls" "Fric" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "na-fa" "4-3" 0.0124501934624614
63 "na" 115710 8 "alveolar" "3" "na.3.3.mp3" "na_v3_b3" "Alv" "Vcd" "Nas" "repvoice" "repvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "na-fa" "3-3" 0.0124501934624614
64 "tha" 117202 8 "dental" "3" "tha.2.3.mp3" "tha_v3_b3" "Dent" "Vls" "Fric" "repvoice" "repvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "na-tha" "3-3" 0.0183207062173377
65 "ma" 118695 8 "labial" "4" "ma.1.4.mp3" "ma_v4_b3" "Lab" "Vcd" "Nas" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "tha-ma" "4-3" 0.0211291928621254
66 "tha" 120203 8 "dental" "4" "tha.3.4.mp3" "tha_v4_b3" "Dent" "Vls" "Fric" "repvoice" "repvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "tha-ma" "4-4" 0.0211291928621254
67 "ga" 121695 8 "velar" "3" "ga.3.3.mp3" "ga_v3_b3" "Vel" "Vcd" "Stop" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "tha-ga" "4-3" 0.0362150149431953
68 "null" 123204 8 "null" "null" "null" "None" "none" "none" "none" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null" "null" NA
69 "ma" 127199 8 "labial" "2" "ma.3.2.mp3" "ma_v2_b3" "Lab" "Vcd" "Nas" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null-ma" "null-2" NA
70 "da" 128708 8 "alveolar" "1" "da.2.1.mp3" "da_v1_b3" "Alv" "Vcd" "Stop" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "da-ma" "1-2" 0.0227881412430219
71 "tha" 130200 8 "dental" "2" "tha.1.2.mp3" "tha_v2_b3" "Dent" "Vls" "Fric" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "tha-da" "1-2" 0.0388604052514422
72 "SH_a" 131709 8 "palato-alveolar" "4" "SH_a.2.4.mp3" "SH_a_v4_b3" "Pal" "Vcd" "Fric" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "diffVoice" "SH_a-tha" "4-2" 0.0163735463965243
73 "za" 133201 8 "alveolar" "2" "za.2.2.mp3" "za_v2_b3" "Alv" "Vcd" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "repVcd" "null" "diffVoice" "za-SH_a" "4-2" 0.138178965310133
74 "SH_a" 134709 8 "palato-alveolar" "3" "SH_a.3.3.mp3" "SH_a_v3_b3" "Pal" "Vcd" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "repVcd" "null" "diffVoice" "za-SH_a" "3-2" 0.138178965310133
75 "sha" 136202 8 "palato-alveolar" "2" "sha.3.2.mp3" "sha_v2_b3" "Pal" "Vls" "Fric" "repcat" "diffcat" "repcat" "null" "null" "null" "repPal" "null" "repFric" "null" "null" "null" "null" "diffVoice" "sha-SH_a" "3-2" 0.0127643633516016
76 "sa" 137710 8 "alveolar" "4" "sa.3.4.mp3" "sa_v4_b3" "Alv" "Vls" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "repVls" "diffVoice" "sha-sa" "4-2" 0.113246765824953
77 "sa" 139202 8 "alveolar" "1" "sa.1.1.mp3" "sa_v1_b3" "Alv" "Vls" "Fric" "repsyll" "repsyll" "repsyll" "null" "repAlv" "null" "null" "null" "repFric" "null" "null" "null" "repVls" "diffVoice" "sa-sa" "1-4" NA
