"Trial" "syllable" "Onset" "block_num" "Place" "voice" "filename" "bin" "place" "voicing" "manner" "rplace" "rvoicing" "rmanner" "rLab" "rAlv" "rDent" "rPal" "rVel" "rFric" "rStop" "rNasal" "rVcd" "rVls" "rvoice" "sylltrans" "voicetrans" "MillSim"
1 "tha" 10197 6 "dental" "1" "tha.1.1.mp3" "tha_v1_b2" "Dent" "Vls" "Fric" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" 0.0427058614883721
2 "ba" 11706 6 "labial" "1" "ba.3.1.mp3" "ba_v1_b2" "Lab" "Vcd" "Stop" "repvoice" "repvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "ba-tha" "1-1" 0.0444361928288333
3 "za" 13198 6 "alveolar" "4" "za.2.4.mp3" "za_v4_b2" "Alv" "Vcd" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "ba-za" "1-4" 0.0565234331615674
4 "ka" 14707 6 "velar" "2" "ka.4.2.mp3" "ka_v2_b2" "Vel" "Vls" "Stop" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "za-ka" "4-2" 0.0228770680919328
5 "va" 16199 6 "labio-dental" "1" "va.1.1.mp3" "va_v1_b3" "Lab" "Vcd" "Fric" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "ka-va" "1-2" 0.0224300675837212
6 "ta" 17708 6 "alveolar" "4" "ta.5.4.mp3" "ta_v4_b3" "Alv" "Vls" "Stop" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "va-ta" "1-4" 0.0244476238203606
7 "za" 19200 6 "alveolar" "3" "za.1.3.mp3" "za_v3_b2" "Alv" "Vcd" "Fric" "repcat" "diffcat" "diffcat" "null" "repAlv" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "za-ta" "4-3" 0.0233811261053915
8 "pa" 20708 6 "labial" "4" "pa.1.4.mp3" "pa_v4_b3" "Lab" "Vls" "Stop" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "za-pa" "4-3" 0.0262303501492357
9 "SH_a" 22200 6 "palato-alveolar" "2" "SH_a.3.2.mp3" "SH_a_v2_b2" "Pal" "Vcd" "Fric" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "pa-SH_a" "4-2" 0.0171270060098082
10 "pa" 23709 6 "labial" "3" "pa.3.3.mp3" "pa_v3_b2" "Lab" "Vls" "Stop" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "pa-SH_a" "3-2" 0.0171270060098082
