"Trial" "syllable" "Onset" "block_num" "Place" "voice" "filename" "bin" "place" "voicing" "manner" "rplace" "rvoicing" "rmanner" "rLab" "rAlv" "rDent" "rPal" "rVel" "rFric" "rStop" "rNasal" "rVcd" "rVls" "rvoice" "sylltrans" "voicetrans" "MillSim"
1 "tha" 10204 10 "dental" "4" "tha.1.4.mp3" "tha_v4_b4" "Dent" "Vls" "Fric" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" 0.15482586365123
2 "sha" 11713 10 "palato-alveolar" "4" "sha.3.4.mp3" "sha_v4_b4" "Pal" "Vls" "Fric" "repvoice" "repcatvoice" "repcatvoice" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "repVls" "repVoice" "sha-tha" "4-4" 0.0442934452101461
3 "SH_a" 13205 10 "palato-alveolar" "2" "SH_a.3.2.mp3" "SH_a_v2_b4" "Pal" "Vcd" "Fric" "repcat" "diffcat" "repcat" "null" "null" "null" "repPal" "null" "repFric" "null" "null" "null" "null" "diffVoice" "sha-SH_a" "4-2" 0.0127643633516016
4 "sa" 14697 10 "alveolar" "2" "sa.1.2.mp3" "sa_v2_b4" "Alv" "Vls" "Fric" "repvoice" "repvoice" "repcatvoice" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "repVoice" "SH_a-sa" "2-2" 0.0223709151466559
5 "za" 16140 10 "alveolar" "1" "za.2.1.mp3" "za_v1_b4" "Alv" "Vcd" "Fric" "repcat" "diffcat" "repcat" "null" "repAlv" "null" "null" "null" "repFric" "null" "null" "null" "null" "diffVoice" "za-sa" "1-2" 0.0344734172749872
6 "fa" 17698 10 "labio-dental" "2" "fa.1.2.mp3" "fa_v2_b4" "Lab" "Vls" "Fric" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "diffVoice" "za-fa" "1-2" 0.017564189078639
7 "ka" 19207 10 "velar" "3" "ka.5.3.mp3" "ka_v3_b4" "Vel" "Vls" "Stop" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "diffVoice" "ka-fa" "3-2" 0.0763014313858586
8 "da" 20699 10 "alveolar" "2" "da.2.2.mp3" "da_v2_b4" "Alv" "Vcd" "Stop" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "null" "repStop" "null" "null" "null" "diffVoice" "ka-da" "3-2" 0.0188136951680179
9 "SH_a" 22207 10 "palato-alveolar" "1" "SH_a.2.1.mp3" "SH_a_v1_b4" "Pal" "Vcd" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "SH_a-da" "1-2" 0.0888856874159333
10 "fa" 23699 10 "labio-dental" "3" "fa.4.3.mp3" "fa_v3_b4" "Lab" "Vls" "Fric" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "diffVoice" "fa-SH_a" "1-3" 0.0109549380134048
11 "za" 25208 10 "alveolar" "2" "za.1.2.mp3" "za_v2_b4" "Alv" "Vcd" "Fric" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "diffVoice" "za-fa" "3-2" 0.017564189078639
12 "ba" 26700 10 "labial" "3" "ba.3.3.mp3" "ba_v3_b4" "Lab" "Vcd" "Stop" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "ba-za" "3-2" 0.0565234331615674
13 "na" 28275 10 "alveolar" "2" "na.2.2.mp3" "na_v2_b4" "Alv" "Vcd" "Nas" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "ba-na" "3-2" 0.024819469330927
14 "da" 29718 10 "alveolar" "1" "da.3.1.mp3" "da_v1_b4" "Alv" "Vcd" "Stop" "repcat" "repcat" "diffcat" "null" "repAlv" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "na-da" "1-2" 0.0303140877460462
