"Trial" "syllable" "Onset" "block_num" "Place" "voice" "filename" "bin" "place" "voicing" "manner" "rplace" "rvoicing" "rmanner" "rLab" "rAlv" "rDent" "rPal" "rVel" "rFric" "rStop" "rNasal" "rVcd" "rVls" "rvoice" "sylltrans" "voicetrans" "MillSim"
1 "TH_a" 10201 4 "dental" "2" "TH_a.2.2.mp3" "TH_a_v2_b2" "Dent" "Vcd" "Fric" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" NA
2 "ta" 11710 4 "alveolar" "1" "ta.3.1.mp3" "ta_v1_b2" "Alv" "Vls" "Stop" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "TH_a-ta" "1-2" 0.018398855471175
3 "ma" 13202 4 "labial" "4" "ma.2.4.mp3" "ma_v4_b2" "Lab" "Vcd" "Nas" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "ma-ta" "1-4" 0.0223566002469745
4 "tha" 14695 4 "dental" "3" "tha.2.3.mp3" "tha_v3_b2" "Dent" "Vls" "Fric" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "tha-ma" "4-3" 0.0211291928621254
5 "ma" 16203 4 "labial" "3" "ma.1.3.mp3" "ma_v3_b2" "Lab" "Vcd" "Nas" "repvoice" "repvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "tha-ma" "3-3" 0.0211291928621254
6 "sa" 17695 4 "alveolar" "2" "sa.3.2.mp3" "sa_v2_b2" "Alv" "Vls" "Fric" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "ma-sa" "3-2" 0.0168325927665453
7 "ma" 19203 4 "labial" "1" "ma.3.1.mp3" "ma_v1_b2" "Lab" "Vcd" "Nas" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "ma-sa" "1-2" 0.0168325927665453
8 "sha" 20695 4 "palato-alveolar" "1" "sha.2.1.mp3" "sha_v1_b2" "Pal" "Vls" "Fric" "repvoice" "repvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "sha-ma" "1-1" 0.0125720064420188
9 "da" 22204 4 "alveolar" "1" "da.1.1.mp3" "da_v1_b2" "Alv" "Vcd" "Stop" "repvoice" "repvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "sha-da" "1-1" 0.0319921225828632
10 "fa" 23696 4 "labio-dental" "2" "fa.3.2.mp3" "fa_v2_b2" "Lab" "Vls" "Fric" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "fa-da" "1-2" 0.0246326507930114
11 "ma" 25205 4 "labial" "2" "ma.3.2.mp3" "ma_v2_b2" "Lab" "Vcd" "Nas" "repcatvoice" "repvoice" "repvoice" "repLab" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "fa-ma" "2-2" 0.015844076735163
12 "ga" 26697 4 "velar" "4" "ga.1.4.mp3" "ga_v4_b2" "Vel" "Vcd" "Stop" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "ga-ma" "4-2" 0.0288986920135984
13 "va" 28206 4 "labio-dental" "4" "va.1.4.mp3" "va_v4_b1" "Lab" "Vcd" "Fric" "repvoice" "repcatvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "repVoice" "va-ga" "4-4" 0.0563801508019679
14 "ba" 29698 4 "labial" "2" "ba.2.2.mp3" "ba_v2_b2" "Lab" "Vcd" "Stop" "repcat" "repcat" "diffcat" "repLab" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "ba-va" "4-2" 0.20948219453299
15 "ma" 31206 4 "labial" "1" "ma.2.1.mp3" "ma_v1_b2" "Lab" "Vcd" "Nas" "repcat" "repcat" "diffcat" "repLab" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "ba-ma" "1-2" 0.0389983712671896
16 "ma" 32699 4 "labial" "3" "ma.1.3.mp3" "ma_v3_b2" "Lab" "Vcd" "Nas" "repsyll" "repsyll" "repsyll" "repLab" "null" "null" "null" "null" "null" "null" "repNas" "repVcd" "null" "diffVoice" "ma-ma" "1-3" NA
17 "da" 34207 4 "alveolar" "3" "da.3.3.mp3" "da_v3_b2" "Alv" "Vcd" "Stop" "repvoice" "repcatvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "repVoice" "da-ma" "3-3" 0.0227881412430219
