"Trial" "syllable" "Onset" "block_num" "Place" "voice" "filename" "bin" "place" "voicing" "manner" "rplace" "rvoicing" "rmanner" "rLab" "rAlv" "rDent" "rPal" "rVel" "rFric" "rStop" "rNasal" "rVcd" "rVls" "rvoice" "sylltrans" "voicetrans" "MillSim"
1 "ta" 10204 5 "alveolar" "3" "ta.2.3.mp3" "ta_v3_b2" "Alv" "Vls" "Stop" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" 0.0486434393382033
2 "fa" 11696 5 "labio-dental" "4" "fa.7.4.mp3" "fa_v4_b2" "Lab" "Vls" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "diffVoice" "fa-ta" "4-3" 0.0578158780927524
3 "tha" 13204 5 "dental" "2" "tha.2.2.mp3" "tha_v2_b2" "Dent" "Vls" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "repVls" "diffVoice" "fa-tha" "4-2" 0.424635788228768
4 "pa" 14697 5 "labial" "4" "pa.3.4.mp3" "pa_v4_b2" "Lab" "Vls" "Stop" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "diffVoice" "pa-tha" "4-2" 0.127757236025028
5 "sa" 16205 5 "alveolar" "3" "sa.3.3.mp3" "sa_v3_b2" "Alv" "Vls" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "diffVoice" "pa-sa" "4-3" 0.0502525895157616
6 "pa" 17697 5 "labial" "3" "pa.6.3.mp3" "pa_v3_b2" "Lab" "Vls" "Stop" "repvoice" "repcatvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "repVoice" "pa-sa" "3-3" 0.0502525895157616
7 "da" 19206 5 "alveolar" "4" "da.1.4.mp3" "da_v4_b2" "Alv" "Vcd" "Stop" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "null" "repStop" "null" "null" "null" "diffVoice" "pa-da" "4-3" 0.022685051914619
8 "za" 20698 5 "alveolar" "1" "za.3.1.mp3" "za_v1_b2" "Alv" "Vcd" "Fric" "repcat" "repcat" "diffcat" "null" "repAlv" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "za-da" "1-4" 0.107120141382959
9 "tha" 22207 5 "dental" "3" "tha.1.3.mp3" "tha_v3_b2" "Dent" "Vls" "Fric" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "diffVoice" "za-tha" "1-3" 0.0321029606059229
10 "ka" 23699 5 "velar" "3" "ka.7.3.mp3" "ka_v3_b2" "Vel" "Vls" "Stop" "repvoice" "repcatvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "repVoice" "ka-tha" "3-3" 0.0805281948632112
11 "da" 25207 5 "alveolar" "1" "da.2.1.mp3" "da_v1_b2" "Alv" "Vcd" "Stop" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "null" "repStop" "null" "null" "null" "diffVoice" "ka-da" "1-3" 0.0188136951680179
12 "ga" 26700 5 "velar" "2" "ga.3.2.mp3" "ga_v2_b2" "Vel" "Vcd" "Stop" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "null" "repStop" "null" "repVcd" "null" "diffVoice" "da-ga" "1-2" 0.33343711200749
13 "pa" 28208 5 "labial" "2" "pa.1.2.mp3" "pa_v2_b2" "Lab" "Vls" "Stop" "repvoice" "repvoice" "repcatvoice" "null" "null" "null" "null" "null" "null" "repStop" "null" "null" "null" "repVoice" "pa-ga" "2-2" 0.0159491621223005
14 "va" 29700 5 "labio-dental" "3" "va.1.3.mp3" "va_v3_b2" "Lab" "Vcd" "Fric" "repcat" "diffcat" "diffcat" "repLab" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "pa-va" "3-2" 0.0205061465402239
15 "ta" 31209 5 "alveolar" "2" "ta.1.2.mp3" "ta_v2_b2" "Alv" "Vls" "Stop" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "va-ta" "3-2" 0.0244476238203606
16 "ga" 32701 5 "velar" "3" "ga.1.3.mp3" "ga_v3_b2" "Vel" "Vcd" "Stop" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "null" "repStop" "null" "null" "null" "diffVoice" "ga-ta" "3-2" 0.0177160218315514
17 "ba" 34210 5 "labial" "3" "ba.3.3.mp3" "ba_v3_b2" "Lab" "Vcd" "Stop" "repvoice" "repcatvoice" "repcatvoice" "null" "null" "null" "null" "null" "null" "repStop" "null" "repVcd" "null" "repVoice" "ba-ga" "3-3" 0.0676804503863479
18 "null" 35702 5 "null" "null" "null" "None" "none" "none" "none" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null" "null" NA
19 "null" 39697 5 "null" "null" "null" "None" "none" "none" "none" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "null" "null" NA
20 "tha" 43709 5 "dental" "4" "tha.3.4.mp3" "tha_v4_b2" "Dent" "Vls" "Fric" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null-tha" "null-4" NA
